
===== 开始运行 soc-step=25 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-02-01完成 | 滚动常规 | q=0.90 | SOC：6000.0->10800.0 | 临时购电：3.0kWh | 总费用：32376.24元
2025-02-02完成 | 滚动常规 | q=0.90 | SOC：10800.0->10800.0 | 临时购电：0.6kWh | 总费用：67367.49元
2025-02-03完成 | 滚动常规 | q=0.90 | SOC：10800.0->10800.0 | 临时购电：0.0kWh | 总费用：67032.77元
2025-02-04完成 | 滚动常规 | q=0.90 | SOC：10800.0->10800.0 | 临时购电：0.6kWh | 总费用：68482.43元
2025-02-05完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：3.9kWh | 总费用：67909.68元
2025-02-06完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：0.0kWh | 总费用：67642.68元
2025-02-07完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：3.2kWh | 总费用：29134.08元
2025-02-08完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：9.6kWh | 总费用：26646.03元
2025-02-09完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：0.0kWh | 总费用：64445.72元
2025-02-10完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：3.4kWh | 总费用：63973.86元
2025-02-11完成 | 滚动常规 | q=0.85 | SOC：10800.0->10800.0 | 临时购电：2.9kWh | 总费用：61579.03元
2025-02-12完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：12.2kWh | 总费用：61990.87元
2025-02-13完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：8.9kWh | 总费用：62058.12元
2025-02-14完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：26.2kWh | 总费用：24165.92元
2025-02-15完成 | 滚动常规 | q=0.70 | SOC：10800.0->10775.0 | 临时购电：28.0kWh | 总费用：23662.64元
2025-02-16完成 | 滚动常规 | q=0.70 | SOC：10775.0->10800.0 | 临时购电：15.5kWh | 总费用：60949.09元
2025-02-17完成 | 滚动常规 | q=0.70 | SOC：10800.0->10775.0 | 临时购电：14.6kWh | 总费用：60213.37元
2025-02-18完成 | 滚动常规 | q=0.70 | SOC：10775.0->10800.0 | 临时购电：3.6kWh | 总费用：59808.84元
2025-02-19完成 | 滚动常规 | q=0.70 | SOC：10800.0->10625.0 | 临时购电：14.8kWh | 总费用：58301.79元
2025-02-20完成 | 滚动常规 | q=0.70 | SOC：10625.0->10800.0 | 临时购电：13.5kWh | 总费用：60768.03元
2025-02-21完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：43.7kWh | 总费用：23442.60元
2025-02-22完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：31.9kWh | 总费用：22365.53元
2025-02-23完成 | 滚动常规 | q=0.70 | SOC：10800.0->10775.0 | 临时购电：14.7kWh | 总费用：57992.51元
2025-02-24完成 | 滚动常规 | q=0.70 | SOC：10775.0->10800.0 | 临时购电：5.5kWh | 总费用：58372.01元
2025-02-25完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：8.2kWh | 总费用：59437.61元
2025-02-26完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：15.1kWh | 总费用：56889.83元
2025-02-27完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：17.1kWh | 总费用：57821.01元
2025-02-28完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：53.7kWh | 总费用：21734.32元
2025-03-01完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：52.5kWh | 总费用：20664.25元
2025-03-02完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：12.9kWh | 总费用：55808.33元
2025-03-03完成 | 滚动常规 | q=0.70 | SOC：10800.0->10750.0 | 临时购电：7.4kWh | 总费用：56206.82元
2025-03-04完成 | 滚动常规 | q=0.70 | SOC：10750.0->10800.0 | 临时购电：3.7kWh | 总费用：59079.88元
2025-03-05完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：16.1kWh | 总费用：57781.66元
2025-03-06完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：0.0kWh | 总费用：57033.66元
2025-03-07完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：8.8kWh | 总费用：21692.38元
2025-03-08完成 | 滚动常规 | q=0.70 | SOC：10800.0->10675.0 | 临时购电：57.0kWh | 总费用：20108.17元
2025-03-09完成 | 滚动常规 | q=0.70 | SOC：10675.0->10750.0 | 临时购电：23.5kWh | 总费用：54923.63元
2025-03-10完成 | 滚动常规 | q=0.70 | SOC：10750.0->10750.0 | 临时购电：12.1kWh | 总费用：52084.82元
2025-03-11完成 | 滚动常规 | q=0.70 | SOC：10750.0->10800.0 | 临时购电：16.6kWh | 总费用：53291.49元
2025-03-12完成 | 滚动常规 | q=0.70 | SOC：10800.0->10725.0 | 临时购电：26.2kWh | 总费用：53332.29元
2025-03-13完成 | 滚动常规 | q=0.70 | SOC：10725.0->10600.0 | 临时购电：33.3kWh | 总费用：51989.57元
2025-03-14完成 | 滚动常规 | q=0.70 | SOC：10600.0->10675.0 | 临时购电：92.8kWh | 总费用：18898.27元
2025-03-15完成 | 滚动常规 | q=0.70 | SOC：10675.0->10450.0 | 临时购电：90.5kWh | 总费用：19405.93元
2025-03-16完成 | 滚动常规 | q=0.70 | SOC：10450.0->10800.0 | 临时购电：14.0kWh | 总费用：53449.05元
2025-03-17完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：9.6kWh | 总费用：50880.42元
2025-03-18完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：16.1kWh | 总费用：50446.98元
2025-03-19完成 | 滚动常规 | q=0.70 | SOC：10800.0->10800.0 | 临时购电：7.2kWh | 总费用：51061.54元
