
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-02-01完成 | 滚动常规 | q=0.90 | SOC：6000.0->10807.5 | 临时购电：8.0kWh | 总费用：32402.80元
2025-02-02完成 | 滚动常规 | q=0.90 | SOC：10807.5->10807.5 | 临时购电：1.2kWh | 总费用：67368.62元
2025-02-03完成 | 滚动常规 | q=0.90 | SOC：10807.5->10807.5 | 临时购电：0.6kWh | 总费用：67033.96元
2025-02-04完成 | 滚动常规 | q=0.90 | SOC：10807.5->10807.5 | 临时购电：0.0kWh | 总费用：68475.89元
2025-02-05完成 | 滚动常规 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：1.3kWh | 总费用：67893.22元
2025-02-06完成 | 滚动常规 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：6.2kWh | 总费用：67673.20元
2025-02-07完成 | 滚动常规 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：1.5kWh | 总费用：29126.86元
2025-02-08完成 | 滚动常规 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：11.3kWh | 总费用：26645.52元
2025-02-09完成 | 滚动常规 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：2.1kWh | 总费用：64455.32元
2025-02-10完成 | 滚动常规 | q=0.85 | SOC：10807.5->10807.5 | 临时购电：2.1kWh | 总费用：63959.87元
2025-02-11完成 | 滚动常规 | q=0.85 | SOC：10807.5->10695.0 | 临时购电：0.9kWh | 总费用：61566.63元
2025-02-12完成 | 滚动常规 | q=0.70 | SOC：10695.0->10807.5 | 临时购电：7.3kWh | 总费用：62008.36元
2025-02-13完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：3.3kWh | 总费用：62019.13元
2025-02-14完成 | 滚动常规 | q=0.70 | SOC：10807.5->10740.0 | 临时购电：17.7kWh | 总费用：24116.07元
2025-02-15完成 | 滚动常规 | q=0.70 | SOC：10740.0->10740.0 | 临时购电：15.0kWh | 总费用：23622.59元
2025-02-16完成 | 滚动常规 | q=0.70 | SOC：10740.0->10807.5 | 临时购电：7.5kWh | 总费用：60902.52元
2025-02-17完成 | 滚动常规 | q=0.70 | SOC：10807.5->10695.0 | 临时购电：5.3kWh | 总费用：60161.50元
2025-02-18完成 | 滚动常规 | q=0.70 | SOC：10695.0->10807.5 | 临时购电：5.1kWh | 总费用：59846.66元
2025-02-19完成 | 滚动常规 | q=0.70 | SOC：10807.5->10560.0 | 临时购电：18.4kWh | 总费用：58314.38元
2025-02-20完成 | 滚动常规 | q=0.70 | SOC：10560.0->10807.5 | 临时购电：10.2kWh | 总费用：60760.44元
2025-02-21完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：23.8kWh | 总费用：23332.89元
2025-02-22完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：30.6kWh | 总费用：22348.70元
2025-02-23完成 | 滚动常规 | q=0.70 | SOC：10807.5->10695.0 | 临时购电：9.2kWh | 总费用：57957.75元
2025-02-24完成 | 滚动常规 | q=0.70 | SOC：10695.0->10785.0 | 临时购电：7.5kWh | 总费用：58414.03元
2025-02-25完成 | 滚动常规 | q=0.70 | SOC：10785.0->10807.5 | 临时购电：15.6kWh | 总费用：59471.46元
2025-02-26完成 | 滚动常规 | q=0.70 | SOC：10807.5->10807.5 | 临时购电：16.3kWh | 总费用：56893.45元
