
===== 开始运行 soc-step=22.5 =====
正式评价区间：2025-02-01 至 2025-12-31
正式评价天数：334
未纳入正式评价的预热日期：31天
日末库存价值系数：0.481548 元/kWh
预测安全修正：负荷×1.050，非夏季光伏×0.900，7至9月光伏×1.050
预测时间衰减系数：0.900
分解预测设置：同类型日最少3天，日总量趋势截断0.200，光伏最近7天
滚动偏差校准：回看30天，强度0.500
动态分位数：常规[0.5, 0.6, 0.7, 0.75, 0.8, 0.85, 0.9]，高风险[0.85, 0.9, 0.95]
滚动最优分位数：回看30天，最少历史7天，临时购电惩罚×5.0
2025-02-01完成 | 滚动常规 | q=0.90 | SOC：6000.0->10785.0 | 临时购电：8.0kWh | 总费用：32402.80元
2025-02-02完成 | 滚动常规 | q=0.90 | SOC：10785.0->10785.0 | 临时购电：1.2kWh | 总费用：67377.68元
2025-02-03完成 | 滚动常规 | q=0.90 | SOC：10785.0->10785.0 | 临时购电：0.6kWh | 总费用：67043.02元
2025-02-04完成 | 滚动常规 | q=0.90 | SOC：10785.0->10785.0 | 临时购电：0.0kWh | 总费用：68484.95元
2025-02-05完成 | 滚动常规 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：1.3kWh | 总费用：67902.28元
2025-02-06完成 | 滚动常规 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：6.2kWh | 总费用：67682.26元
2025-02-07完成 | 滚动常规 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：1.5kWh | 总费用：29135.92元
2025-02-08完成 | 滚动常规 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：11.3kWh | 总费用：26654.58元
2025-02-09完成 | 滚动常规 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：2.1kWh | 总费用：64464.38元
2025-02-10完成 | 滚动常规 | q=0.85 | SOC：10785.0->10785.0 | 临时购电：2.1kWh | 总费用：63968.93元
2025-02-11完成 | 滚动常规 | q=0.85 | SOC：10785.0->10672.5 | 临时购电：0.9kWh | 总费用：61575.68元
2025-02-12完成 | 滚动常规 | q=0.70 | SOC：10672.5->10785.0 | 临时购电：8.8kWh | 总费用：62027.39元
2025-02-13完成 | 滚动常规 | q=0.70 | SOC：10785.0->10785.0 | 临时购电：3.3kWh | 总费用：62028.18元
2025-02-14完成 | 滚动常规 | q=0.70 | SOC：10785.0->10717.5 | 临时购电：17.2kWh | 总费用：24124.01元
